workload,frame,frame_ms,gc_bytes,gpu_ms,RR.UI,RR.Streaming,RR.IndustryTick,RR.MachineViews,RR.WeatherViews,RR.TorchRefresh,RR.PassiveTick,RR.HostileTick,RR.SurvivalTick,alloc_RR.UI,alloc_RR.Streaming,alloc_RR.IndustryTick,alloc_RR.MachineViews,alloc_RR.WeatherViews,alloc_RR.TorchRefresh,alloc_RR.PassiveTick,alloc_RR.HostileTick,alloc_RR.SurvivalTick,machine_views_created,crate_views_created,timing_timestamp,cpu_main_ms,cpu_render_ms,present_wait_ms,draw_calls,batches,set_pass,srp_draw_calls,shadow_casters
factory-192,392,48.6247,-1,47.9278,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274829734041,6.6899,1.6786,4.3859,-1,-1,61,2558,492
factory-192,393,50.9786,-1,48.0837,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274829845068,5.8966,1.6861,42.8264,-1,-1,61,2558,492
factory-192,394,48.6216,-1,49.0844,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274830332479,5.2757,1.4781,42.7070,-1,-1,61,2558,492
factory-192,395,48.7748,-1,47.7688,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274830812452,3.3312,1.3330,45.2766,-1,-1,61,2558,492
factory-192,396,38.6314,-1,47.8144,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274831298660,3.8229,1.8232,47.1454,-1,-1,61,2558,492
factory-192,523,48.5856,-1,23.8874,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274847599884,2.6364,1.2173,8.4618,-1,-1,61,2557,491
factory-192,524,49.6085,-1,48.8310,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274847710960,2.4120,1.2955,8.6886,-1,-1,61,2557,491
factory-192,525,48.2716,-1,48.4536,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274847822060,3.0897,3.0517,17.1207,-1,-1,61,2557,491
factory-192,526,48.7297,-1,48.7137,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274848024350,12.2413,1.2772,36.2379,-1,-1,61,2557,491
factory-192,527,48.9880,-1,48.1772,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274848509370,3.9143,1.2019,45.6863,-1,-1,61,2557,491
