timestamp, temperature.gpu, clocks.current.graphics [MHz], utilization.gpu [%], power.draw [W], clocks_event_reasons.sw_thermal_slowdown
2026/09/20 03:28:55.658, 84, 1110 MHz, 98 %, 64.06 W, Active
2026/09/20 03:28:57.674, 84, 1110 MHz, 95 %, 65.20 W, Active
2026/09/20 03:28:59.695, 84, 1110 MHz, 95 %, 66.04 W, Active
2026/09/20 03:29:01.721, 85, 1095 MHz, 95 %, 64.38 W, Active
2026/09/20 03:29:03.746, 85, 1140 MHz, 95 %, 64.76 W, Active
2026/09/20 03:29:05.767, 85, 1215 MHz, 94 %, 67.94 W, Active
2026/09/20 03:29:07.788, 85, 1185 MHz, 93 %, 68.43 W, Active
2026/09/20 03:29:09.812, 84, 1065 MHz, 96 %, 60.35 W, Active
2026/09/20 03:29:11.841, 84, 1185 MHz, 96 %, 66.37 W, Active
2026/09/20 03:29:13.856, 85, 1230 MHz, 96 %, 66.54 W, Active
2026/09/20 03:29:15.876, 85, 1125 MHz, 96 %, 65.93 W, Active
2026/09/20 03:29:17.892, 83, 915 MHz, 97 %, 53.28 W, Active
2026/09/20 03:29:19.914, 84, 1020 MHz, 94 %, 56.55 W, Active
2026/09/20 03:29:21.937, 86, 960 MHz, 95 %, 65.44 W, Active
2026/09/20 03:29:23.956, 83, 1005 MHz, 95 %, 62.01 W, Not Active
2026/09/20 03:29:25.994, 85, 1170 MHz, 97 %, 65.57 W, Active
2026/09/20 03:29:28.017, 84, 300 MHz, 97 %, 62.27 W, Active
2026/09/20 03:29:30.052, 83, 1005 MHz, 94 %, 55.18 W, Not Active
2026/09/20 03:29:32.086, 84, 300 MHz, 98 %, 45.63 W, Active
2026/09/20 03:29:34.108, 83, 1005 MHz, 96 %, 57.57 W, Not Active
2026/09/20 03:29:36.136, 85, 630 MHz, 96 %, 72.43 W, Active
2026/09/20 03:29:38.153, 86, 435 MHz, 93 %, 89.37 W, Active
2026/09/20 03:29:40.178, 86, 435 MHz, 95 %, 90.30 W, Active
2026/09/20 03:29:42.205, 84, 1080 MHz, 97 %, 63.12 W, Active
2026/09/20 03:29:44.229, 85, 1215 MHz, 96 %, 73.21 W, Active
2026/09/20 03:29:46.244, 83, 1035 MHz, 96 %, 58.11 W, Active
2026/09/20 03:29:48.270, 87, 1425 MHz, 96 %, 96.53 W, Not Active
2026/09/20 03:29:50.293, 84, 540 MHz, 97 %, 57.25 W, Active
2026/09/20 03:29:52.313, 85, 1110 MHz, 94 %, 67.44 W, Active
2026/09/20 03:29:54.328, 84, 840 MHz, 96 %, 53.15 W, Active
2026/09/20 03:29:56.363, 85, 600 MHz, 96 %, 69.67 W, Active
2026/09/20 03:29:58.389, 83, 1125 MHz, 94 %, 62.15 W, Active
2026/09/20 03:30:00.407, 83, 300 MHz, 94 %, 42.85 W, Active
2026/09/20 03:30:02.418, 83, 1005 MHz, 94 %, 58.94 W, Not Active
2026/09/20 03:30:04.449, 83, 345 MHz, 95 %, 50.65 W, Active
2026/09/20 03:30:06.470, 84, 1095 MHz, 96 %, 67.01 W, Active
2026/09/20 03:30:08.493, 82, 1005 MHz, 96 %, 47.44 W, Not Active
2026/09/20 03:30:10.526, 84, 1530 MHz, 96 %, 61.06 W, Not Active
2026/09/20 03:30:12.561, 85, 1230 MHz, 98 %, 67.01 W, Active
2026/09/20 03:30:14.582, 86, 360 MHz, 95 %, 101.54 W, Active
2026/09/20 03:30:16.605, 85, 1140 MHz, 96 %, 68.43 W, Active
2026/09/20 03:30:18.625, 84, 960 MHz, 96 %, 50.33 W, Active
2026/09/20 03:30:20.642, 85, 1080 MHz, 96 %, 64.76 W, Active
2026/09/20 03:30:22.664, 84, 1065 MHz, 88 %, 64.62 W, Active
2026/09/20 03:30:24.691, 85, 1080 MHz, 93 %, 64.58 W, Active
2026/09/20 03:30:26.703, 85, 1080 MHz, 97 %, 62.52 W, Active
2026/09/20 03:30:28.725, 85, 1065 MHz, 97 %, 63.43 W, Active
2026/09/20 03:30:30.750, 86, 345 MHz, 96 %, 93.50 W, Active
2026/09/20 03:30:32.773, 83, 750 MHz, 98 %, 46.98 W, Active
2026/09/20 03:30:34.792, 87, 1365 MHz, 97 %, 93.22 W, Active
2026/09/20 03:30:36.822, 85, 1125 MHz, 96 %, 67.52 W, Active
2026/09/20 03:30:38.840, 83, 360 MHz, 94 %, 56.48 W, Active
2026/09/20 03:30:40.860, 85, 1080 MHz, 96 %, 65.47 W, Active
2026/09/20 03:30:42.889, 85, 1080 MHz, 96 %, 63.88 W, Active
2026/09/20 03:30:44.916, 85, 1065 MHz, 96 %, 65.96 W, Active
2026/09/20 03:30:46.923, 84, 1050 MHz, 96 %, 63.31 W, Active
2026/09/20 03:30:48.941, 85, 1110 MHz, 95 %, 62.75 W, Active
2026/09/20 03:30:50.965, 85, 1080 MHz, 92 %, 63.56 W, Active
2026/09/20 03:30:52.982, 84, 1065 MHz, 95 %, 63.99 W, Active
2026/09/20 03:30:55.003, 85, 1095 MHz, 94 %, 63.53 W, Active
2026/09/20 03:30:57.022, 85, 1080 MHz, 95 %, 62.30 W, Active
2026/09/20 03:30:59.046, 85, 1125 MHz, 95 %, 63.47 W, Active
2026/09/20 03:31:01.058, 85, 1050 MHz, 96 %, 62.82 W, Active
2026/09/20 03:31:03.074, 85, 1050 MHz, 95 %, 63.63 W, Active
2026/09/20 03:31:05.092, 85, 1065 MHz, 93 %, 63.05 W, Active
2026/09/20 03:31:07.117, 85, 1080 MHz, 97 %, 63.54 W, Active
2026/09/20 03:31:09.130, 85, 1110 MHz, 96 %, 64.05 W, Active
2026/09/20 03:31:11.146, 85, 1095 MHz, 96 %, 63.20 W, Active
2026/09/20 03:31:13.168, 85, 1050 MHz, 97 %, 64.09 W, Active
2026/09/20 03:31:15.190, 85, 1095 MHz, 95 %, 63.53 W, Active
2026/09/20 03:31:17.210, 85, 1050 MHz, 96 %, 62.76 W, Active
2026/09/20 03:31:19.232, 85, 1095 MHz, 95 %, 63.38 W, Active
2026/09/20 03:31:21.250, 87, 1425 MHz, 95 %, 76.02 W, Active
2026/09/20 03:31:23.276, 84, 300 MHz, 97 %, 58.06 W, Active
2026/09/20 03:31:25.299, 85, 1095 MHz, 97 %, 64.55 W, Active
2026/09/20 03:31:27.318, 84, 1005 MHz, 95 %, 43.81 W, Not Active
2026/09/20 03:31:29.346, 85, 750 MHz, 98 %, 69.65 W, Active
2026/09/20 03:31:31.367, 85, 1095 MHz, 96 %, 66.61 W, Active
2026/09/20 03:31:33.379, 85, 1185 MHz, 96 %, 69.48 W, Active
