workload,frame,frame_ms,gc_bytes,gpu_ms,RR.UI,RR.Streaming,RR.IndustryTick,RR.MachineViews,RR.WeatherViews,RR.TorchRefresh,RR.PassiveTick,RR.HostileTick,RR.SurvivalTick,alloc_RR.UI,alloc_RR.Streaming,alloc_RR.IndustryTick,alloc_RR.MachineViews,alloc_RR.WeatherViews,alloc_RR.TorchRefresh,alloc_RR.PassiveTick,alloc_RR.HostileTick,alloc_RR.SurvivalTick,machine_views_created,crate_views_created,timing_timestamp,cpu_main_ms,cpu_render_ms,present_wait_ms,draw_calls,batches,set_pass,srp_draw_calls,shadow_casters
stress-factory-farm-mobs-clear,650,31.2941,-1,11.8093,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3222326896782,4.8626,5.1657,13.6227,-1,-1,170,7212,2393
stress-factory-farm-mobs-clear,651,38.0018,-1,31.4470,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3222327081770,12.6868,3.5547,2.7246,-1,-1,170,7212,2393
stress-factory-farm-mobs-clear,652,30.9301,-1,36.8740,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3222327236002,5.1157,3.8349,8.3259,-1,-1,170,7212,2393
stress-factory-farm-mobs-clear,653,29.8153,-1,31.9081,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3222327370476,4.4215,3.3303,26.8614,-1,-1,170,7208,2393
stress-factory-farm-mobs-clear,654,25.2510,-1,28.5880,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3222327683419,12.4034,3.5844,25.5846,-1,-1,170,7202,2387
stress-factory-farm-mobs-clear,655,25.8079,-1,26.1691,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3222328063419,10.3014,3.5300,20.6194,-1,-1,170,7204,2387
stress-factory-farm-mobs-clear,656,23.2362,-1,25.0276,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3222328372724,5.2790,3.5873,24.5265,-1,-1,170,7207,2388
stress-factory-farm-mobs-clear,789,74.0153,-1,16.1633,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3222347467016,5.0658,4.7943,9.3387,-1,-1,170,7191,2372
stress-factory-farm-mobs-clear,790,81.5550,-1,74.1007,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3222347611175,13.2650,3.2782,0.6042,-1,-1,170,7187,2372
stress-factory-farm-mobs-clear,791,62.4469,-1,81.0532,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3222347750011,5.3155,3.8166,15.0974,-1,-1,170,7194,2375
