timestamp, temperature.gpu, clocks.current.graphics [MHz], utilization.gpu [%], power.draw [W], clocks_event_reasons.sw_thermal_slowdown
2026/09/22 10:20:46.770, 82, 1005 MHz, 98 %, 40.01 W, Not Active
2026/09/22 10:20:48.828, 82, 1005 MHz, 98 %, 41.68 W, Not Active
2026/09/22 10:20:50.878, 85, 1200 MHz, 31 %, 70.41 W, Active
2026/09/22 10:20:52.896, 84, 525 MHz, 94 %, 48.58 W, Active
2026/09/22 10:20:54.910, 83, 690 MHz, 94 %, 50.41 W, Active
2026/09/22 10:20:56.934, 85, 630 MHz, 74 %, 59.62 W, Active
2026/09/22 10:20:58.971, 86, 990 MHz, 80 %, 87.19 W, Active
2026/09/22 10:21:01.002, 84, 1125 MHz, 86 %, 59.88 W, Active
2026/09/22 10:21:03.025, 84, 1050 MHz, 92 %, 56.96 W, Active
2026/09/22 10:21:05.052, 85, 1125 MHz, 97 %, 66.11 W, Active
2026/09/22 10:21:07.074, 85, 300 MHz, 98 %, 48.81 W, Active
2026/09/22 10:21:09.097, 85, 300 MHz, 98 %, 45.15 W, Active
2026/09/22 10:21:11.118, 86, 300 MHz, 99 %, 76.14 W, Active
2026/09/22 10:21:13.134, 87, 510 MHz, 99 %, 77.28 W, Active
2026/09/22 10:21:15.156, 85, 1050 MHz, 97 %, 62.97 W, Active
2026/09/22 10:21:17.172, 85, 1050 MHz, 98 %, 62.99 W, Active
2026/09/22 10:21:19.191, 85, 1050 MHz, 98 %, 62.79 W, Active
2026/09/22 10:21:21.215, 85, 1050 MHz, 99 %, 63.60 W, Active
2026/09/22 10:21:23.231, 85, 1050 MHz, 98 %, 63.66 W, Active
2026/09/22 10:21:25.259, 85, 1050 MHz, 98 %, 63.17 W, Active
2026/09/22 10:21:27.280, 86, 1050 MHz, 99 %, 63.92 W, Active
2026/09/22 10:21:29.305, 84, 300 MHz, 99 %, 62.36 W, Active
2026/09/22 10:21:31.323, 83, 1005 MHz, 97 %, 41.41 W, Not Active
2026/09/22 10:21:33.358, 86, 1245 MHz, 97 %, 74.90 W, Not Active
2026/09/22 10:21:35.385, 85, 1155 MHz, 98 %, 66.46 W, Active
2026/09/22 10:21:37.410, 85, 1185 MHz, 98 %, 67.65 W, Active
2026/09/22 10:21:39.423, 83, 300 MHz, 99 %, 42.17 W, Active
2026/09/22 10:21:41.452, 82, 1005 MHz, 97 %, 43.26 W, Not Active
2026/09/22 10:21:43.528, 83, 1005 MHz, 99 %, 41.12 W, Not Active
2026/09/22 10:21:45.561, 82, 300 MHz, 94 %, 40.88 W, Active
2026/09/22 10:21:47.581, 83, 1005 MHz, 91 %, 58.04 W, Not Active
2026/09/22 10:21:49.617, 86, 1710 MHz, 87 %, 81.06 W, Not Active
2026/09/22 10:21:51.635, 85, 1215 MHz, 85 %, 64.81 W, Not Active
2026/09/22 10:21:53.670, 85, 1245 MHz, 88 %, 64.76 W, Active
2026/09/22 10:21:55.693, 85, 1140 MHz, 91 %, 64.54 W, Active
2026/09/22 10:21:57.716, 84, 1140 MHz, 88 %, 41.48 W, Active
2026/09/22 10:21:59.917, 84, 1170 MHz, 76 %, 56.81 W, Active
2026/09/22 10:22:01.931, 84, 300 MHz, 72 %, 47.72 W, Active
2026/09/22 10:22:03.948, 84, 300 MHz, 93 %, 43.51 W, Active
2026/09/22 10:22:05.968, 85, 300 MHz, 93 %, 43.79 W, Active
2026/09/22 10:22:07.984, 83, 300 MHz, 93 %, 42.44 W, Active
2026/09/22 10:22:10.011, 83, 300 MHz, 90 %, 42.25 W, Active
2026/09/22 10:22:12.029, 84, 1065 MHz, 89 %, 57.35 W, Active
