timestamp, temperature.gpu, clocks.current.graphics [MHz], utilization.gpu [%], power.draw [W], clocks_event_reasons.sw_thermal_slowdown
2026/09/22 12:57:54.551, 85, 300 MHz, 94 %, 62.16 W, Active
2026/09/22 12:57:56.576, 87, 1215 MHz, 95 %, 80.55 W, Active
2026/09/22 12:57:58.639, 86, 300 MHz, 93 %, 59.95 W, Active
2026/09/22 12:58:00.656, 85, 300 MHz, 96 %, 83.00 W, Active
2026/09/22 12:58:02.681, 84, 1020 MHz, 96 %, 64.01 W, Active
2026/09/22 12:58:04.702, 84, 945 MHz, 95 %, 52.38 W, Active
2026/09/22 12:58:06.715, 85, 1125 MHz, 94 %, 66.34 W, Active
2026/09/22 12:58:08.739, 85, 1080 MHz, 95 %, 66.16 W, Active
2026/09/22 12:58:10.757, 85, 1140 MHz, 96 %, 65.23 W, Active
2026/09/22 12:58:12.776, 87, 945 MHz, 97 %, 82.10 W, Active
2026/09/22 12:58:14.818, 87, 300 MHz, 97 %, 77.91 W, Active
2026/09/22 12:58:16.937, 86, 300 MHz, 97 %, 77.83 W, Active
2026/09/22 12:58:18.956, 87, 300 MHz, 96 %, 77.06 W, Active
2026/09/22 12:58:21.001, 87, 300 MHz, 96 %, 76.85 W, Active
2026/09/22 12:58:23.064, 87, 300 MHz, 96 %, 76.32 W, Active
2026/09/22 12:58:25.102, 87, 300 MHz, 96 %, 76.28 W, Active
2026/09/22 12:58:27.149, 87, 300 MHz, 96 %, 78.01 W, Active
2026/09/22 12:58:29.202, 87, 300 MHz, 96 %, 76.29 W, Active
2026/09/22 12:58:31.247, 87, 300 MHz, 97 %, 77.51 W, Active
2026/09/22 12:58:33.300, 87, 300 MHz, 96 %, 77.12 W, Active
2026/09/22 12:58:35.339, 87, 300 MHz, 96 %, 77.89 W, Active
2026/09/22 12:58:37.382, 85, 300 MHz, 97 %, 59.00 W, Active
2026/09/22 12:58:39.405, 84, 300 MHz, 96 %, 42.48 W, Active
2026/09/22 12:58:41.422, 83, 300 MHz, 97 %, 42.57 W, Active
2026/09/22 12:58:43.442, 82, 1005 MHz, 96 %, 41.74 W, Not Active
2026/09/22 12:58:45.491, 85, 585 MHz, 95 %, 69.25 W, Active
2026/09/22 12:58:47.508, 85, 1125 MHz, 92 %, 66.44 W, Active
2026/09/22 12:58:49.520, 85, 1140 MHz, 96 %, 66.89 W, Active
2026/09/22 12:58:51.551, 85, 1290 MHz, 95 %, 70.09 W, Active
2026/09/22 12:58:53.573, 86, 1245 MHz, 98 %, 70.43 W, Active
2026/09/22 12:58:55.597, 85, 1185 MHz, 95 %, 65.97 W, Active
2026/09/22 12:58:57.624, 87, 300 MHz, 95 %, 76.53 W, Active
2026/09/22 12:58:59.725, 87, 300 MHz, 96 %, 76.79 W, Active
2026/09/22 12:59:01.772, 87, 300 MHz, 97 %, 76.19 W, Active
2026/09/22 12:59:03.805, 87, 300 MHz, 97 %, 75.49 W, Active
2026/09/22 12:59:05.870, 87, 300 MHz, 96 %, 76.72 W, Active
2026/09/22 12:59:07.903, 87, 300 MHz, 96 %, 76.52 W, Active
2026/09/22 12:59:09.978, 87, 300 MHz, 96 %, 77.31 W, Active
2026/09/22 12:59:12.012, 87, 300 MHz, 96 %, 76.24 W, Active
2026/09/22 12:59:14.046, 87, 300 MHz, 96 %, 77.47 W, Active
2026/09/22 12:59:16.110, 87, 330 MHz, 96 %, 77.82 W, Active
2026/09/22 12:59:18.145, 87, 300 MHz, 95 %, 76.93 W, Active
2026/09/22 12:59:20.191, 87, 465 MHz, 95 %, 78.09 W, Active
2026/09/22 12:59:22.249, 87, 375 MHz, 94 %, 80.84 W, Active
2026/09/22 12:59:24.283, 84, 870 MHz, 93 %, 57.58 W, Active
2026/09/22 12:59:26.305, 84, 885 MHz, 95 %, 55.73 W, Active
2026/09/22 12:59:28.323, 84, 1035 MHz, 91 %, 60.78 W, Active
2026/09/22 12:59:30.344, 85, 750 MHz, 95 %, 64.18 W, Active
2026/09/22 12:59:32.373, 84, 1275 MHz, 95 %, 46.31 W, Not Active
2026/09/22 12:59:34.405, 85, 1035 MHz, 97 %, 64.00 W, Active
2026/09/22 12:59:36.430, 85, 1050 MHz, 94 %, 64.08 W, Active
2026/09/22 12:59:38.447, 85, 1035 MHz, 94 %, 64.39 W, Active
2026/09/22 12:59:40.465, 85, 1035 MHz, 96 %, 65.10 W, Active
2026/09/22 12:59:42.479, 85, 1050 MHz, 96 %, 64.00 W, Active
2026/09/22 12:59:44.499, 85, 1020 MHz, 97 %, 64.19 W, Active
2026/09/22 12:59:46.519, 85, 1035 MHz, 98 %, 63.94 W, Active
2026/09/22 12:59:48.544, 85, 1035 MHz, 95 %, 63.95 W, Active
2026/09/22 12:59:50.563, 85, 1005 MHz, 96 %, 63.82 W, Active
2026/09/22 12:59:52.589, 85, 1080 MHz, 97 %, 63.40 W, Active
2026/09/22 12:59:54.609, 85, 1065 MHz, 96 %, 63.16 W, Active
2026/09/22 12:59:56.628, 86, 1035 MHz, 97 %, 63.64 W, Active
2026/09/22 12:59:58.650, 86, 1020 MHz, 94 %, 63.88 W, Active
2026/09/22 13:00:00.667, 86, 1005 MHz, 96 %, 63.70 W, Active
2026/09/22 13:00:02.693, 83, 300 MHz, 95 %, 42.62 W, Active
2026/09/22 13:00:04.714, 85, 615 MHz, 98 %, 67.59 W, Active
2026/09/22 13:00:06.738, 83, 300 MHz, 95 %, 42.69 W, Active
2026/09/22 13:00:08.789, 84, 1470 MHz, 97 %, 62.20 W, Not Active
2026/09/22 13:00:10.817, 84, 1005 MHz, 97 %, 60.70 W, Not Active
2026/09/22 13:00:12.855, 84, 1005 MHz, 97 %, 60.56 W, Not Active
2026/09/22 13:00:14.884, 84, 1005 MHz, 96 %, 60.87 W, Not Active
2026/09/22 13:00:16.909, 84, 1005 MHz, 96 %, 56.50 W, Not Active
2026/09/22 13:00:18.946, 84, 1005 MHz, 97 %, 56.18 W, Not Active
2026/09/22 13:00:20.973, 84, 1005 MHz, 96 %, 57.25 W, Not Active
2026/09/22 13:00:23.007, 83, 1005 MHz, 94 %, 58.38 W, Not Active
2026/09/22 13:00:25.046, 83, 1005 MHz, 97 %, 46.12 W, Not Active
2026/09/22 13:00:27.077, 83, 1005 MHz, 97 %, 45.90 W, Not Active
2026/09/22 13:00:29.121, 83, 1005 MHz, 97 %, 44.94 W, Not Active
2026/09/22 13:00:31.154, 83, 1005 MHz, 95 %, 45.07 W, Not Active
2026/09/22 13:00:33.194, 89, 765 MHz, 97 %, 89.55 W, Active
2026/09/22 13:00:35.327, 84, 300 MHz, 93 %, 45.69 W, Active
2026/09/22 13:00:37.345, 83, 1005 MHz, 95 %, 46.63 W, Not Active
2026/09/22 13:00:39.373, 85, 1110 MHz, 97 %, 65.44 W, Active
2026/09/22 13:00:41.398, 86, 855 MHz, 94 %, 66.97 W, Active
2026/09/22 13:00:43.417, 85, 795 MHz, 93 %, 54.98 W, Active
2026/09/22 13:00:45.433, 84, 870 MHz, 95 %, 56.65 W, Active
2026/09/22 13:00:47.463, 86, 300 MHz, 95 %, 73.28 W, Active
2026/09/22 13:00:49.480, 87, 300 MHz, 97 %, 85.93 W, Active
2026/09/22 13:00:51.542, 87, 300 MHz, 96 %, 77.53 W, Active
