timestamp, temperature.gpu, clocks.current.graphics [MHz], utilization.gpu [%], power.draw [W], clocks_event_reasons.sw_thermal_slowdown
2026/09/20 03:00:51.744, 86, 1575 MHz, 95 %, 95.90 W, Not Active
2026/09/20 03:00:53.776, 82, 1005 MHz, 98 %, 51.23 W, Not Active
2026/09/20 03:00:55.800, 83, 495 MHz, 98 %, 61.14 W, Active
2026/09/20 03:00:57.812, 83, 1080 MHz, 98 %, 60.14 W, Active
2026/09/20 03:00:59.845, 83, 1215 MHz, 98 %, 69.28 W, Not Active
2026/09/20 03:01:01.882, 83, 900 MHz, 96 %, 54.88 W, Active
2026/09/20 03:01:03.907, 84, 1185 MHz, 92 %, 67.67 W, Active
2026/09/20 03:01:05.924, 87, 1560 MHz, 97 %, 104.92 W, Not Active
2026/09/20 03:01:07.946, 83, 525 MHz, 97 %, 53.35 W, Active
2026/09/20 03:01:09.965, 83, 975 MHz, 99 %, 56.61 W, Active
2026/09/20 03:01:11.985, 83, 1035 MHz, 99 %, 57.31 W, Active
2026/09/20 03:01:14.006, 84, 930 MHz, 99 %, 73.67 W, Active
2026/09/20 03:01:16.029, 83, 975 MHz, 99 %, 56.89 W, Active
2026/09/20 03:01:18.055, 84, 1200 MHz, 12 %, 67.88 W, Active
2026/09/20 03:01:20.075, 84, 1140 MHz, 96 %, 69.01 W, Active
2026/09/20 03:01:22.096, 82, 765 MHz, 96 %, 47.38 W, Active
2026/09/20 03:01:24.121, 84, 1095 MHz, 95 %, 64.79 W, Active
2026/09/20 03:01:26.141, 84, 495 MHz, 97 %, 63.17 W, Active
2026/09/20 03:01:28.164, 84, 1200 MHz, 95 %, 64.42 W, Active
2026/09/20 03:01:30.185, 81, 1005 MHz, 96 %, 42.75 W, Not Active
2026/09/20 03:01:32.208, 84, 1155 MHz, 96 %, 67.61 W, Active
2026/09/20 03:01:34.232, 84, 1140 MHz, 96 %, 68.17 W, Active
2026/09/20 03:01:36.255, 84, 1110 MHz, 96 %, 64.49 W, Active
2026/09/20 03:01:38.275, 82, 300 MHz, 95 %, 41.31 W, Active
2026/09/20 03:01:40.295, 83, 1005 MHz, 95 %, 59.08 W, Not Active
2026/09/20 03:01:42.324, 82, 1005 MHz, 98 %, 51.99 W, Not Active
2026/09/20 03:01:44.355, 82, 1005 MHz, 97 %, 51.92 W, Not Active
2026/09/20 03:01:46.387, 83, 1065 MHz, 96 %, 58.66 W, Active
2026/09/20 03:01:48.408, 85, 300 MHz, 96 %, 67.58 W, Active
2026/09/20 03:01:50.424, 83, 330 MHz, 94 %, 45.72 W, Active
2026/09/20 03:01:52.442, 83, 300 MHz, 94 %, 42.54 W, Active
2026/09/20 03:01:54.473, 84, 1080 MHz, 96 %, 63.25 W, Active
2026/09/20 03:01:56.496, 85, 1170 MHz, 94 %, 67.60 W, Active
2026/09/20 03:01:58.509, 84, 1140 MHz, 97 %, 62.03 W, Active
2026/09/20 03:02:00.533, 85, 570 MHz, 95 %, 77.62 W, Active
2026/09/20 03:02:02.555, 84, 1275 MHz, 66 %, 68.29 W, Active
2026/09/20 03:02:04.576, 85, 585 MHz, 95 %, 68.98 W, Active
2026/09/20 03:02:06.599, 83, 1110 MHz, 94 %, 57.47 W, Not Active
2026/09/20 03:02:08.625, 83, 1020 MHz, 98 %, 60.37 W, Active
2026/09/20 03:02:10.646, 83, 900 MHz, 99 %, 55.75 W, Active
2026/09/20 03:02:12.665, 83, 675 MHz, 97 %, 49.40 W, Active
2026/09/20 03:02:14.686, 83, 870 MHz, 98 %, 52.77 W, Active
2026/09/20 03:02:16.711, 84, 570 MHz, 98 %, 62.77 W, Active
2026/09/20 03:02:18.737, 85, 1140 MHz, 97 %, 68.61 W, Active
2026/09/20 03:02:20.753, 83, 1365 MHz, 98 %, 55.63 W, Not Active
2026/09/20 03:02:22.776, 84, 1635 MHz, 99 %, 67.32 W, Not Active
2026/09/20 03:02:24.797, 84, 510 MHz, 95 %, 48.58 W, Active
2026/09/20 03:02:26.823, 83, 870 MHz, 98 %, 55.07 W, Active
2026/09/20 03:02:28.846, 84, 735 MHz, 98 %, 54.56 W, Active
2026/09/20 03:02:30.859, 84, 1530 MHz, 96 %, 65.39 W, Not Active
2026/09/20 03:02:32.887, 84, 495 MHz, 98 %, 57.86 W, Active
2026/09/20 03:02:34.911, 84, 1425 MHz, 95 %, 62.49 W, Active
2026/09/20 03:02:36.933, 82, 1005 MHz, 97 %, 40.54 W, Not Active
2026/09/20 03:02:38.976, 82, 1005 MHz, 99 %, 41.37 W, Not Active
2026/09/20 03:02:41.009, 82, 1005 MHz, 98 %, 41.19 W, Not Active
2026/09/20 03:02:43.058, 82, 1005 MHz, 97 %, 41.19 W, Not Active
2026/09/20 03:02:45.104, 82, 1005 MHz, 96 %, 41.14 W, Not Active
2026/09/20 03:02:47.143, 82, 1005 MHz, 97 %, 40.74 W, Not Active
